state,county_name,jurisdiction_type,precinct_name,name,address,polling_location_type
OK,,county,ROGERS COUNTY PRECINCT 660019,TIAWAH COMMUNITY BAPTIST CHUR,24405 S 4180 RD CLAREMORE OK 74019,polling_location
OK,,county,DELAWARE COUNTY PRECINCT 210016,JAY COMMUNITY CENTER,429 S 9TH STREET JAY OK 74346,polling_location
OK,,county,PAYNE COUNTY PRECINCT 600103,OAK STREET BAPTIST CHURCH,1442 E. OAK CUSHING OK 74023,polling_location
OK,,county,WASHINGTON COUNTY PRECINCT 740062,FIRST CHURCH OF GOD,"222 S OSAGE AVE, DEWEY DEWEY OK 74029",polling_location
OK,,county,TULSA COUNTY PRECINCT 720020,ROSE HILL UNITED METH CH,748 N LOUISVILLE AVE TULSA OK 74115,polling_location
OK,,county,OKFUSKEE COUNTY PRECINCT 540312,WELEETKA SCHOOL AUDITORIUM,6TH & SENECA WELEETKA OK 74880,polling_location
OK,,county,TULSA COUNTY PRECINCT 720018,CROSSTOWN LEARNING CENTER,2501 E ARCHER ST TULSA OK 74110,polling_location
OK,,county,WOODWARD COUNTY PRECINCT 770202,WOODWARD SENIOR CENTER,1420 DOWNS AVENUE WOODWARD OK 73801,polling_location
OK,,county,CRAIG COUNTY PRECINCT 180714,CARTER BAPTIST CHURCH,4470 & 220 RD VINITA OK 74301,polling_location
OK,,county,TULSA COUNTY PRECINCT 720149,GRACE UNITED METHODIST CHURCH,519 S 49 W AVE TULSA OK 74127,polling_location
