state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Oxford,HANOVER,1-1,Hanover Town Office ,"21 Ferry Road, Hanover "
ME,county,Somerset,HARMONY,1-1,Harmony Elementary School,"18 Main Street, Harmony"
ME,county,Cumberland,HARPSWELL,1-1,Merriconeag Grange Hall ,"529 Harpswell Neck Road, Harpswell "
ME,county,Cumberland,HARPSWELL,2-1,Cundy's Harbor Community Building ,"837 Cundy's Harbor Road, Harpswell "
ME,county,Cumberland,HARPSWELL,3-1,Old Orr's Island School House ,"1594 Harpswell Islands Road, Harpswell "
ME,county,Washington,HARRINGTON,1-1,Harrington Town Office ,"114 East Main Street, Harrington "
ME,county,Cumberland,HARRISON,1-1,Harrison Town Office Meeting Room,"20 Front Street, Harrison "
ME,county,Oxford,HARTFORD,1-1,Hartford Town Hall ,"1190 Main Street, Hartford "
ME,county,Somerset,HARTLAND,1-1,Hartland Town Hall ,"21 Academy Street, Hartland "
ME,county,Aroostook,HAYNESVILLE,1-1,Haynesville Town Office ,"16 Danforth Road, Haynesville "
ME,county,Oxford,HEBRON,1-1,Hebron Town Office ,"351 Paris Road, Hebron "
ME,county,Penobscot,HERMON,1-1,Hermon Elementary School Gymnasium,"235 Billings Road, Hermon "
ME,county,Aroostook,HERSEY,1-1,Patten Fire Station,"27 Dearborn Street, Hersey"
ME,county,Somerset,HIGHLAND PLT ,1-1,Town House ,"Long Falls Dam Road, Highland Plt"
ME,county,Oxford,HIRAM,1-1,Hiram Town Office ,"25 Allard Circle, Hiram "
ME,county,Aroostook,HODGDON,1-1,Hodgdon Town Office ,"179 Hodgdon Mills Road, Hodgdon "
ME,county,Penobscot,HOLDEN,1-1,Holden Municipal Building ,"570 Main Road, Holden "
ME,county,York,HOLLIS,1-1,Hollis Fire Station #2 ,"405 Plains Road, Hollis "
ME,county,Knox,HOPE,1-1,Hope Town Office ,"441 Camden Road, Hope "
ME,county,Aroostook,HOULTON,1-1,Gentle Memorial Building ,"128 Main Street, Houlton "
ME,county,Penobscot,HOWLAND,1-1,Howland Town Office,"8 Main Street, Howland "
ME,county,Penobscot,HUDSON ,1-1,Hudson Town Hall ,"2334 Hudson Road, Hudson "
ME,county,Washington,INDIAN TOWNSHIP ,1-1,Indian Twp Tribal Office,"8 Kennabasis Road, Indian Twp"
ME,county,Franklin,INDUSTRY,1-1,Industry Town Hall ,"1033 Industry Road, Industry "
ME,county,Aroostook,ISLAND FALLS,1-1,Island Falls Municipal Office ,"68 Houlton Road, Island Falls "
ME,county,Knox,ISLE AU HAUT,1-1,Revere Memorial Hall,"1 Main Street, Isle Au Haut"
ME,county,Waldo,ISLESBORO,1-1,Islesboro Public Safety Meeting Room,"150 Main Road, Islesboro "
ME,county,Somerset,JACKMAN,All,Jackman Municipal Conference Room,"369 Main Street, Jackman "
ME,county,Waldo,JACKSON,1-1,Jackson Town Office ,"730 Moosehead Trail, Jackson "
ME,county,Franklin,JAY,1-1,Jay Community Building ,"13 Community Drive, Jay "
ME,county,Lincoln,JEFFERSON,1-1,Jefferson Fire Station ,"204 Waldoboro Road, Jefferson "
ME,county,Washington,JONESBORO,1-1,Keith H. Schoppee Municipal Building,"23 Station Road, Jonesboro "
ME,county,Washington,JONESPORT,1-1,Jonesport Town Office,"70 Snare Creek Lane, Jonesport"
ME,county,Penobscot,KENDUSKEAG,1-1,Kenduskeag Town Office ,"4010 Broadway, Kenduskeag "
ME,county,York,KENNEBUNK,All,Edward C. Winston Auditorium ,"1 Summer Street, Kennebunk "
ME,county,York,KENNEBUNKPORT,1-1,Village Fire Station ,"32 North Street, Kennebunkport "
ME,county,Franklin,KINGFIELD,1-1,Webster Hall ,"38 School Street, Kingfield "
ME,county,York,KITTERY,All,Kittery Community Center,"120 Rogers Road, Kittery "
ME,county,Waldo,KNOX,1-1,Knox Town Office ,"10 Abbott Road, Knox "
ME,county,Penobscot,LAGRANGE ,1-1,Lagrange Town Office ,"5791 Bennoch Road, Lagrange "
ME,county,Piscataquis,LAKE VIEW PLT,1-1,Lake View Town Office,"27 Church Street, Brownville "
ME,county,Penobscot,LAKEVILLE,1-1,Lakeville Town Office (McKinley School House),"828 Bottle Lake Road, Lakeville "
ME,county,Hancock,LAMOINE,1-1,Lamoine Town Office ,"606 Douglas Highway, Lamoine "
ME,county,York,LEBANON,1-1,Lebanon Elementary School ,"65 Upper Guinea Road, Lebanon "
ME,county,Penobscot,LEE,1-1,Eula Ham Municipal Building ,"29 Winn Road, Lee "
ME,county,Androscoggin,LEEDS,1-1,Leeds Town Office ,"8 Community Drive, Leeds "
ME,county,Penobscot,LEVANT,1-1,Levant Town Office,"691 Townhouse Road, Levant "
ME,county,Androscoggin,LEWISTON ,"1-1, 3-1",Lewiston Memorial Armory,"65 Central Avenue, Lewiston "
ME,county,Androscoggin,LEWISTON ,2-1,Montello School,"407 East Avenue, Lewiston "
ME,county,Androscoggin,LEWISTON ,"4-1, 5-1,7-1",Longley Elementary School,"145 Birch Street, Lewiston "
ME,county,Androscoggin,LEWISTON ,6-1,The Green Ladle (at High School),"156 East Avenue, Lewiston "
ME,county,Waldo,LIBERTY ,1-1,Liberty Town Office-Overlock Room ,"7 Water Street, Liberty "
ME,county,York,LIMERICK,All,Limerick Municipal Building ,"55 Washington Street, Limerick "
ME,county,Aroostook,LIMESTONE,1-1,Limestone Municipal Building ,"93 Main Street, Limestone "
ME,county,York,LIMINGTON,1-1,Limington Municipal Complex ,"425 Sokokis Avenue, Limington "
ME,county,Penobscot,LINCOLN,1-1,Mattanawcook Academy Gymnasium,"33 Reed Drive, Lincoln "
ME,county,Oxford,LINCOLN PLT,1-1,Lincoln Plt Town Hall,"260 Wilsons Mills Road, Lincoln Plt"
ME,county,Waldo,LINCOLNVILLE,1-1,Lincolnville Central School ,"523 Hope Road, Lincolnville "
ME,county,Aroostook,LINNEUS,1-1,Linneus Town Office ,"1185 Hodgdon Mills Road, Linneus "
ME,county,Androscoggin,LISBON,1-1,Superintendent's Office Building Gymnasium ,"19 Gartley Street, Lisbon "
ME,county,Androscoggin,LISBON,2-1,MTM Center,"18 School Street, Lisbon "
ME,county,Aroostook,LITTLETON ,1-1,Littleton Town Office ,"1536 US Highway 1, Littleton "
ME,county,Androscoggin,LIVERMORE,1-1,Livermore Town Office ,"10 Crash Road, Livermore "
ME,county,Androscoggin,LIVERMORE FALLS,1-1,Livermore Falls Municipal Building ,"2 Main Street, Livermore Falls "
ME,county,Cumberland,LONG ISLAND,1-1,Long Island Town Hall ,"105 Wharf Street, Long Island "
ME,county,Oxford,LOVELL,All,Lovell Town Office ,"1133 Main Street, Lovell "
ME,county,Penobscot,LOWELL,1-1,Lowell Town Office ,"129 West Old Main Road, Lowell "
ME,county,Washington,LUBEC,1-1,Lubec Municipal Building,"40 School Street, Lubec "
