state,county_name,precinct_name,precinct_id,name,address
VA,,929 - DIFFICULT RUN,929,CHURCH OF THE GOOD SHEPHERD,2351 HUNTER MILL ROAD VIENNA VA 22181
VA,,602 - TANGIER,602,TANGIER COMBINED SCHOOL,4375 SCHOOL LANE Tangier VA 23440
VA,,089 - LAKE CHRISTOPHER,089,NEW COVENANT PRESBYTERIAN CHURCH,1552 Kempsville Rd Virginia Beach VA 23464
VA,,205 - ASBURY,205,FRANCIS ASBURY ELEM SCHOOL,140 Beach Rd Hampton VA  23664-2042
VA,,401 - EVERGREEN,401,EVERGREEN FIRE STATION,3510 James Madison Hwy Haymarket VA  20169-1932
VA,,409 - PIONEER,409,LEE HIGH SCHOOL,6540 Franconia Rd Springfield VA  22150-1413
VA,,510 - STADIUM,510,DEVELOPMENT SERVICES BUILDING,5 County Complex Court Woodbridge VA 22192
VA,,047 - KINGS GRANT,047,ST NICHOLAS CATHOLIC CHURCH,712 Little Neck Rd Virginia Beach VA  23452-5814
VA,,201 - SAUNDERS,201,SAUNDERS MIDDLE SCHOOL,13557 Spriggs Rd Manassas VA  20112-3810
VA,,820 - BELMONT STATION,820,BELMONT STATION ELEMENTARY SCHOOL,20235 Nightwatch Street Ashburn VA 20147
VA,,403 - ST PAUL,403,ST PAUL ELEMENTARY SCHOOL,3200 DEACON DR Saint Paul VA  24283-3608
VA,,703 - LYNN,703,LYNN MIDDLE SCHOOL,1650 Prince William Pkwy Woodbridge VA  22191-2044
VA,,201 - POWHATAN STATION,201,Huguenot Public Safety Building,1959 Urbine Rd Powhatan VA 23139
VA,,603 - HURRICANE,603,DAVENPORT RESCUE SQUAD BLDG,4014 HELEN HENDERSON HWY DAVENPORT VA 24239
VA,,213 - TAYLOR ELEMENTARY SCHOOL,213,WH TAYLOR ELEMENTARY SCHOOL,1122 W Princess Anne Rd Norfolk VA  23507-1261
VA,,204 - ELLIS,204,ELLIS ELEMENTARY SCHOOL,10400 Kim Graham Ln Manassas VA  20109-3733
VA,,511 - WESTRIDGE,511,WESTRIDGE ELEMENTARY SCHOOL,12400 Knightsbridge Dr Woodbridge VA  22192-5190
VA,,302 - CHESTERBROOK,302,St Dunstan's Episcopal Church,1830 Kirby Rd Mclean VA 22101
VA,,202 - NEW HOPE,202,NEW HOPE UNITED METHODIST CHURCH,55 Round Hill School Rd Fort Defiance VA  24437-2133
VA,,405 - STONEWALL,405,STONEWALL MIDDLE SCHOOL,10100 Lomond Dr Manassas VA  20109-3139
VA,,207 - LODGE,207,ELKS LODGE,14602 Minnieville Rd Woodbridge VA  22193-3218
VA,,507 - PLEASANT VIEW BAPTIST CHURCH,507,PLEASANT VIEW BAPTIST CHURCH,19278 Forest Rd Lynchburg VA  24502-4478
VA,,201 - SEVEN MILE FORD,201,SMYTH CAREER&TECHNOLOGY CENTER,147 Fox Valley Rd Marion VA  24354-6171
VA,,108 - LEE HALL,108,LEE HALL ELEM SCHOOL,17346 Warwick Blvd Newport News VA  23603-1323
VA,,409 - PACE WEST,409,PACE WEST SCHOOL,14550 John Marshall Hwy Haymarket VA 20169
VA,,020 - E W CHITTUM,020,E W CHITTUM ELEMENTARY SCHOOL,2008 Dock Landing Rd Chesapeake VA  23321-3512
VA,,203 - BENNETT,203,BENNETT ELEMENTARY SCHOOL,8800 Old Dominion Dr Manassas VA  20110-6925
VA,,602 - GARDEN,602,ROWE SENIOR CITIZEN BUILDING,3756 GARDEN CREEK RD ROWE VA 24646
VA,,301 - PRECINCT 3-1,301,EMPORIA MUNICIPAL BUILDING,201 S Main St Emporia VA  23847-2025
VA,,501 - LAKE RIDGE,501,LAKE RIDGE ELEMENTARY SCHOOL,11970 Hedges Run Dr Woodbridge VA  22192-1026
VA,,310 - MARSHALL,310,JOHN MARSHALL ELEM SCHOOL,743 24th St Newport News VA  23607-4629
VA,,512 - YORK,512,WOODBRIDGE MIDDLE SCHOOL,2201 York Drive Woodbridge VA 22191
VA,,604 - HANOVER GROVE,604,Mechanicsville Library,7461 Sherwood Crossing Pl Mechanicsville VA 23111
VA,,301 - WAR MEMORIAL,301,WAR MEMORIAL BUILDING,1001 E Cork St Winchester VA  22601-5575
VA,,410 - MOUNTAIN VIEW,410,MT. VIEW ELEMENTARY SCHOOL,5600 McLeod Way Haymarket VA  20169-2538
VA,,413 - FOUR HUNDRED THIRTEEN,413,SOUTHAMPTON BAPTIST CHURCH,7521 Comanche Dr Richmond VA  23225-1141
VA,,501 - ROBINSON,501,CENTRAL GYM,143 3RD STREET NW Pulaski VA 24301
VA,,411 - MULLEN,411,MULLEN ELEMENTARY SCHOOL,8000 Rodes Dr Manassas VA  20109-7786
VA,,502 - CLOVERDALE,502,READ MOUNTAIN MIDDLE SCHOOL,182 Orchard Hill Dr Cloverdale VA  24077-3034
VA,,501 - SPRINGVILLE,501,SPRINGVILLE ELEMENTARY SCHOOL,144 Schoolhouse Rd North Tazewell VA 24630
VA,,505 - MOHICAN,505,LAKE RIDGE MIDDLE SCHOOL,12350 Mohican Rd Woodbridge VA  22192-1757
VA,,037 - THIRTY-SEVEN,037,CHURCHLAND MIDDLE SCHOOL,4051 River Shore Rd Portsmouth VA  23703-2001
VA,,201 - HUMPBACK BRIDGE,201,MOOSE LODGE 610,414 MOOSE PARK ROAD Covington VA  24426-5403
VA,,408 - SUDLEY,408,SUDLEY ELEMENTARY SCHOOL,9744 Copeland Drive Manassas VA 20109
VA,,911 - NAVY,911,NAVY ELEMENTARY SCHOOL,3500 W Ox Rd Fairfax VA  22033-1702
VA,,503 - OLD BRIDGE,503,WOODBRIDGE HIGH SCHOOL,3001 Old Bridge Rd Woodbridge VA  22192-3221
VA,,302 - POTOMAC,302,POTOMAC SENIOR HIGH SCHOOL,3401 PANTHER PRIDE DRIVE DUMFRIES VA 22026
VA,,404 - FRANCONIA,404,EDISON HIGH SCHOOL,5801 FRANCONIA ROAD Alexandria VA 22310
VA,,007 - KINGSTON,007,KINGS GRANT PRESBYTERIAN CH,745 Little Neck Rd Virginia Beach VA  23452-5813
VA,,504 - ROCKLEDGE,504,ROCKLEDGE ELEMENTARY SCHOOL,2300 MARINER LANE Woodbridge VA 22191
VA,,001 - EAST,001,MINK MOTOR CO,627 Glendale Rd Galax VA  24333-2209
VA,,306 - CROSS KEYS,306,CROSS KEYS RURITAN HALL,5094 BATTLEFIELD RD HARRISONBURG VA  22801-6000
VA,,503 - SEDALIA CENTER,503,SEDALIA CENTER,1108 Sedalia School Rd Big Island VA  24526-2999
VA,,504 - BRISTOW,504,ANNANDALE TERRACE ELEM SCHOOL,7604 Herald St Annandale VA  22003-5432
VA,,302 - JOHN F KENNEDY,302,JOHN F KENNEDY MIDDLE SCHOOL,2325 E WASHINGTON ST Suffolk VA 23434
VA,,626 - SARATOGA,626,SARATOGA ELEMENTARY SCHOOL,8111 Northumberland Rd Springfield VA  22153-3026
VA,,101 - PALMYRA,101,PALMYRA FIREHOUSE,14567 James Madison Highway PALMYRA VA 22963
VA,,301 - SEAFORD,301,SEAFORD ELEMENTARY SCHOOL,1105 Seaford Rd Seaford VA  23696-2351
VA,,304 - JACKSON DAVIS,304,JACKSON DAVIS ELEMENTARY SCHOOL,8800 Nesslewood Dr Richmond VA  23229-3167
VA,,204 - CLEAR FORK,204,CLEAR FORK FIRE DEPARTMENT,7146 Clearfork Rd Bastian VA  24314-4535
VA,,216 - MOODY,216,MOODY MIDDLE SCHOOL,7800 Woodman Rd Richmond VA  23228-3826
VA,,319 - HERNDON #1,319,HERNDON ELEMENTARY SCHOOL,630 Dranesville Rd Herndon VA  20170-3307
VA,,101 - PRECINCT 1-1,101,FIREHOUSE NO 1,425 W Hawthorne St Covington VA  24426-1551
VA,,910 - NINE HUNDRED TEN,910,G H REID SCHOOL,1301 Whitehead Rd Richmond VA  23225-7235
VA,,525 - WALNUT HILL,525,LEIS CENTER AT WALNUT HILL,7423 Camp Alger Ave Falls Church VA  22042-3608
VA,,603 - VALLEY INSTITUTE,603,VALLEY INSTITUTE ELEM SCHOOL,4350 Gate City Hwy Bristol VA  24202-1204
VA,,108 - THOMAS,108,Y  H THOMAS REC CENTER,1300 Thomas St Hampton VA 23669
VA,,623 - ALBAN,623,SARATOGA ELEM SCHOOL,8111 Northumberland Rd Springfield VA  22153-3026
VA,,301 - PATRICK HENRY NO 1,301,MOSS-NUCKOLS ELEMENTARY SCHOOL,2055 Courthouse Road Louisa VA 23093
VA,,001 - PRECINCT #1,001,MARTINSVILLE CITY HOUSING OFFICE,605 FOURTH STREET MARTINSVILLE VA 24112
VA,,621 - GROSVENOR,621,HUNTINGTON COMMUNITY CENTER,5751 Liberty Dr Alexandria VA  22303-1513
VA,,025 - TWENTY-FIVE,025,JOHN TYLER ELEMENTARY SCHOOL,3649 Hartford St Portsmouth VA  23707-1205
VA,,056 - GREEN TREE,056,IMMANUEL BAPTIST CHURCH,1012 N. Battlefield Blvd. Chesapeake VA 23320
VA,,021 - VILLA HEIGHTS,021,FOREST PARK ACADEMY,2730 MELROSE AVE NW Roanoke VA 24017
VA,,503 - BELVEDERE,503,BELVEDERE ELEM SCHOOL,6540 Columbia Pike Falls Church VA  22041-1127
