state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 27,HAVILAND ELEM SCH,5305 CASS ELIZABETH ROAD WATERFORD MI 48327
MI,2012-11-06,county,,PRECINCT 1,BURR OAK TWP HALL,208 FRONT STREET BURR OAK MI 49030
MI,2012-11-06,county,,PRECINCT 12,CENTER COURTS,3320 N CENTER RD SAGINAW MI 48603
MI,2012-11-06,county,,PRECINCT 18,OWEN JAX RECREATION,8207 E NINE MILE WARREN MI 48089
MI,2012-11-06,county,,PRECINCT 142,ST. ELIZABETH CTR,3127 E CANFIELD DETROIT MI 48207
MI,2012-11-06,county,,PRECINCT 1,MANCELONA TWP. HALL,9610 S M-88 HIGHWAY MANCELONA MI 49659
MI,2012-11-06,county,,PRECINCT 4,CHENEY SCHOOL,1500 STAMFORD YPSILANTI MI 48198
MI,2012-11-06,county,,PRECINCT 5,BENTLEY JR HIGH,1180 N BELSAY RD BURTON MI 48509
MI,2012-11-06,county,,PRECINCT 1,FLETCHER INTERMEDIAT,300 SOUTH STREET ORTONVILLE MI 48462
MI,2012-11-06,county,,PRECINCT 433,CENTRAL HIGH SCHOOL,2425 TUXEDO DETROIT MI 48206
MI,2012-11-06,county,,PRECINCT 10,BENTLEY JR HIGH,1180 N BELSAY RD BURTON MI 48509
MI,2012-11-06,county,,PRECINCT 1,TOWNSHIP OFFICES,32097  BERTRAND STREET NILES MI 49120
MI,2012-11-06,county,,PRECINCT 1,TOWNSHIP HALL,E3667 STATE RD 94 CHATHAM MI 49816
MI,2012-11-06,county,,PRECINCT 455,HOLY CROSS BPT CH,6220 LINWOOD DETROIT MI 48208
MI,2012-11-06,county,,PRECINCT 10,SCHOENHALS SCHOOL,16500 LINCOLN SOUTHFIELD MI 48076
MI,2012-11-06,county,,PRECINCT 1,ESTABROOK SCHOOL,1555 CROSS ST YPSILANTI MI 48197
MI,2012-11-06,county,,PRECINCT 2,CAMBRIDGE TOWNSHIP,9990 W M-50  PO BOX 417 ONSTED MI 49265
MI,2012-11-06,county,,PRECINCT 17,ST. GERTRUDE SCHOOL,28801 JEFFERSON ST CLAIR SHORES MI 48081
MI,2012-11-06,county,,PRECINCT 1,FAITH CHURCH,160 W HAMLIN RD ROCHESTER HILLS MI 48307
MI,2012-11-06,county,,PRECINCT 1,WEST CANNON CHURCH,5760 CANNONSBURG ROAD NE BELMONT MI 49306
MI,2012-11-06,county,,PRECINCT 31,HUMAN SERVICES BLDG,26650 EUREKA TAYLOR MI 48180
