state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Bremer,FD,"City Of Frederika, Frederika Twp, Leroy Twp",FREDERIKA COMMUNITY BUILDING,"111 3RD ST, FREDERIKA IA 50631"
IA,2012-11-06,county,Bremer,WL3,Waverly Ward 3,WAVERLY FIRE STATION,"123 1ST ST SW, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,PL,"City of Plainfield, Polk Twp, Douglas Twp",PLAINFIELD PUBLIC LIBRARY,"723 MAIN ST, PLAINFIELD IA 50666"
IA,2012-11-06,county,Bremer,LA,"Lafayette Twp, Warren Twp",BREMER COUNTY SECONDARY ROAD BUILDING,"1995 EUCLID AVE, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,JV,"City Of Janesville, Jackson Twp",JANESVILLE CITY HALL,"227 MAIN ST, JANESVILLE IA 50647"
IA,2012-11-06,county,Bremer,TR,"City of Tripoli, Fremont Twp",TRIPOLI CITY HALL,"303 S MAIN ST, TRIPOLI IA 50676"
IA,2012-11-06,county,Bremer,RD,"City Of Readlyn, Franklin Twp, Maxfield Twp",READLYN TELEPHONE CO,"121 MAIN ST , READLYN IA 50668"
IA,2012-11-06,county,Bremer,WL4,Waverly Ward 4 ,REDEEMER LUTHERAN CHURCH,"2001 W BREMER AVE, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,WL2,"Waverly Ward 2, NE SEC 36 WASHINGTON TWP",WAVERLY LIGHT AND POWER,"1002 ADAMS PKWY, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,WL1,"Waverly Ward 1, East Washington Twp",WAVERLY CITY HALL,"200 1ST ST NE, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,WL5,"Waverly Ward 5, West Washington Twp",BARTELS LUTHERAN HOME CHAPEL,"EVERGREEN ARBOR ENTRANCE 
20TH ST NW, WAVERLY IA 50677"
IA,2012-11-06,county,Bremer,SU,"City of Sumner, Sumner Twp, Dayton Twp",SUMNER AMERICAN LEGION HALL,"113 E 1ST ST, SUMNER IA 50674"
IA,2012-11-06,county,Bremer,DV,"City Of Denver, Jefferson Twp",DENVER COMMUNITY ROOM,"100 WASHINGTON ST, DENVER IA 50622"
IA,2012-11-06,county,Buchanan,MN,Middlefield/Newton,MONTI COMMUNITY CENTER,"2854 WASHINGTON AVE, MASONVILLE IA 50654"
IA,2012-11-06,county,Buchanan,BD,Brandon,BRANDON AREA COMM CLUB,"802 MAIN ST., BRANDON IA 52210"
IA,2012-11-06,county,Buchanan,I5,Indep 5th Ward,FIRST PRESBYTERIAN CHURCH,"115 6TH AVE NW, INDEPENDENCE IA 50644"
IA,2012-11-06,county,Buchanan,AR,Aurora,AURORA LEGION HALL,"302 WARREN ST
PO BOX 114, AURORA IA 50607-0114"
IA,2012-11-06,county,Buchanan,I4,Indep 4th Ward,SENIOR CITIZEN CENTER,"400 5TH AVE NE, INDEPENDENCE IA 50644"
IA,2012-11-06,county,Buchanan,RW,Rowley,ROWLEY COMMUNITY BLDG,"109 ELY ST, ROWLEY IA 52329"
IA,2012-11-06,county,Buchanan,I2,Indep 2nd Ward,VFW,"128 3RD AVE NE, INDEPENDENCE IA 50644"
IA,2012-11-06,county,Buchanan,HT,Hazleton,HAZLETON CITY HALL,"111 3RD ST N
PO BOX 500, HAZLETON IA 50641-0500"
IA,2012-11-06,county,Buchanan,QT,Quasqueton,QUASQUETON LEGION HALL,"106 WATER ST S, QUASQUETON IA 52326"
IA,2012-11-06,county,Buchanan,PW,Perry/Westburg,METHODIST CHURCH,"455 6TH ST
PO BOX 271, JESUP IA 50648-0271"
IA,2012-11-06,county,Buchanan,FB,Fairbank,FAIRBANK FIRE STATION,"301 GROVE ST, FAIRBANK IA 50629"
IA,2012-11-06,county,Buchanan,WN,Winthrop,ST. PATRICK'S PARISH CENTER,"544 1ST ST S
PO BOX 236, WINTHROP IA 50682-0236"
IA,2012-11-06,county,Buchanan,I3,Indep 3rd Ward,HEARTLAND ACRES EVENT CENTER,"2600 SWAN LAKE BLVD
, INDEPENDENCE IA 50644"
IA,2012-11-06,county,Buchanan,I1,Indep 1st Ward,FALCON CIVIC CENTER,"1305 5TH AVE NE
, INDEPENDENCE IA 50644"
IA,2012-11-06,county,Buchanan,JS,Jesup,1ST PRESBYTERIAN CHURCH,"643 6TH ST
, JESUP IA 50648"
IA,2012-11-06,county,Buena Vista,TRWG,Truesdale Washington Grant,HOPE EVANGELICAL FREE CHURCH,"2015 W MILWAUKEE AVE, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,ACFC,Albert City Fairfield Coon,ALBERT CITY CITY HALL,"121 MAIN ST, ALBERT CITY IA 50510"
IA,2012-11-06,county,Buena Vista,02,Storm Lake 2,STORM LAKE CITY HALL,"620 ERIE ST, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,NENP,Newell Newell Providence,DONS FARM SUPPLY MTG ROOM,"167 WEST 1ST ST, NEWELL IA 50568"
IA,2012-11-06,county,Buena Vista,LKHM,Lakeside Hayes Maple Valley,STORM LAKE AIRPORT,"850 630TH ST, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,01,Storm Lake 1,STORM LAKE FIRE STATION,"401 E MILWAUKEE, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,04,Storm Lake 4,CHAUTAUQUA SHELTER HOUSE,"410 E LAKESHORE DR, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,03,Storm Lake 3,ST MARK LUTHERAN CHURCH,"1614 W 5TH ST, STORM LAKE IA 50588"
IA,2012-11-06,county,Buena Vista,ALNE,Alta Nokomis Elk,ALTA COMMUNITY CENTER,"27 LAKE ST, ALTA IA 51002"
IA,2012-11-06,county,Buena Vista,S-M-L-R,SRL;LGB;RELS;MAP,AMERICAN LEGION BLDG,"200 MAIN ST, SIOUX RAPIDS IA 50585"
