state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,DEAN(T),DEAN TOWNSHIP MUNICIPAL BUILDING,145 MCMULDREN ST DYSART PA,polling_location
PA,2012-11-06,county,,CHELTENHAM 6-1,ST JAMES PRIVATE SCHOOL,8306 BROOKSIDE RD ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,EAST NORRITON 1-1,OLIVET SCHWENKFELDER UCC,619 TOWNSHIP LINE RD NORRISTOWN PA 19403,polling_location
PA,2012-11-06,county,,CHELTENHAM 2-3,CURTIS HALL,1250 CHURCH RD WYNCOTE PA 19095,polling_location
PA,2012-11-06,county,,SPRINGFIELD TOWNSHIP 6TH WARD 1ST PREC,SPRINGFIELD BAPTIST CHURCH 6-1,184 N NORWINDEN DR SPRINGFIELD PA 19064,polling_location
PA,2012-11-06,county,,PENN HILLS 03 03,ST BARTHOLOMEW CHURCH GYM,111 ERHARDT DR PENN HILLS PA,polling_location
PA,2012-11-06,county,,CHESTER CITY 7TH WARD 2ND PRECINCT,INGLESA DE AVIVAMIENTO,525 W 3RD ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,COOPER TWP.- 2ND PCT.,FOREST EMANUEL U.M.CHURCH,4064 WINBURNE MUNSON RD MORRISDALE PA 16858,polling_location
PA,2012-11-06,county,,DOUGLASS 2,TRINITY E.C.  CHURCH,250 SWEINHART RD BOYERTOWN PA 19512,polling_location
PA,2012-11-06,county,,LOGAN TOWNSHIP,J V SENIOR CENTER ACTIVITY ROOM,691 KING ST PETERSBURG PA 16669,polling_location
PA,2012-11-06,county,,PENN TWP 4TH WARD 1ST PCT,SUNRISE ELEMENTARY SCHOOL (ALL PURPOSE RM),171 SUNRISE DR IRWIN PA 15642,polling_location
PA,2012-11-06,county,,SPRINGFIELD TOWNSHIP 6TH WARD 4TH PREC,SCENIC HILLS ELEMENTARY SCHOOL,CLAREMONT RD &amp;amp; HILLVIEW DR SPRINGFIELD PA 19064,polling_location
PA,2012-11-06,county,,WARMINSTER TWP 10,WILLIAM TENNANT HIGH SCHOOL,333 CENTENNIAL RD WARMINSTER PA 18974,polling_location
PA,2012-11-06,county,,ST CLAIR TWP SEWARD,"ST. CLAIR TWP. BLDG., OFF 711 (SEWARD)",550 SEWARD ST SEWARD PA 15954,polling_location
PA,2012-11-06,county,,PITTSBURGH 03 01,EBENEZER BAPTIST CHURCH,2001 WYLIE AVE PITTSBURGH PA 15219,polling_location
PA,2012-11-06,county,,W GOSHEN S-4,CHESTER CO GOVERN SERV CENTER,601 WESTTOWN RD WEST CHESTER PA,polling_location
PA,2012-11-06,county,,E GOSHEN 7,BELLINGHAM RETIREMENT COM,1615 E BOOT RD WEST CHESTER PA,polling_location
PA,2012-11-06,county,,CHESTER CITY 6TH WARD 1ST PRECINCT,CHILDREN &amp;amp; YOUTH SVCS OF DEL CO,531 PENN ST CHESTER PA 19013,polling_location
PA,2012-11-06,county,,SPRING CITY 2,1ST UNITED CHURCH OF CHRIST,145 CHESTNUT ST SPRING CITY PA,polling_location
PA,2012-11-06,county,,W GOSHEN S-2,CHESTER CO. GOVERN. SERV CENTER,601 WESTTOWN RD WEST CHESTER PA,polling_location
PA,2012-11-06,county,,MT PENN BORO,MT. PENN BORO HALL,200 N 25TH ST READING PA 19606,polling_location
PA,2012-11-06,county,,MUNHALL 00 05,#3  FIRE HOUSE,2414 CHARLES ST MUNHALL PA,polling_location
PA,2012-11-06,county,,W GOSHEN N-2,FERN HILL SCHOOL,915 LINC AVE WEST CHESTER PA,polling_location
PA,2012-11-06,county,,PHOENIXVILLE W-1,WEST END FIRE CO,801 W BRIDGE ST PHOENIXVILLE PA,polling_location
PA,2012-11-06,county,,SHALER 02 01,BAUERSTOWN VOLUNTEER FIRE CO.,15 WIBLE RUN RD SHALER PA,polling_location
PA,2012-11-06,county,,PHOENIXVILLE W-3,CAINES CREEK SOCIAL CEN,145 HARVEST LN PHOENIXVILLE PA,polling_location
PA,2012-11-06,county,,GIRARD TOWNSHIP,GIRARD TWP MUNICIPAL AUTHORITY BLDG,165 GIRARD CIR LECONTES MILLS PA 16850,polling_location
PA,2012-11-06,county,,E MARLBOROUGH E,CHARLES PATTON MIDDLE SCHOOL,760 UNIONVILLE RD KENNETT SQUARE PA,polling_location
PA,2012-11-06,county,,SWARTHMORE BOROUGH NORTHERN PRECINCT,SWARTHMORE-RUTLEDGE SCHOOL,100 COLLEGE AVE SWARTHMORE PA 19081,polling_location
PA,2012-11-06,county,,SCHUYLKILL 1,CENTER FOR ARTS &amp;amp; TECH,1580 CHARLESTOWN RD PHOENIXVILLE PA,polling_location
PA,2012-11-06,county,,MIDDLESEX 2,HICKORYTOWN UNITED METHODIST CHURCH,1677 TRINDLE RD CARLISLE PA 17015,polling_location
PA,2012-11-06,county,,UPPER MORELAND 7-1,UPPER MORELAND INTERM SCHOOL,3990 ORANGEMANS RD HATBORO PA 19040,polling_location
