state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ALLEGHENY,1710604,MONROEVILLE 06 04,BORO BLDG COUNCIL CHAMBERS,"2700 MONROEVILLE BLVD, MONROEVILLE, PA 15146"
PA,2018-11-06,county,ALLEGHENY,1710701,MONROEVILLE 07 01,MONROEVILLE VOL FIRE #6,"600 GARDEN CITY DR, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710702,MONROEVILLE 07 02,MONROEVILLE VOL FIRE  #6,"600 GARDEN CITY DR, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1710703,MONROEVILLE 07 03,EVERGREEN SCHOOL,"3831 EVERGREEN DR, MONROEVILLE, PA"
PA,2018-11-06,county,ALLEGHENY,1720001,MOON 00 01,NEW MOON AREA HIGH SCHOOL  CAFETERIA LOBBY,"8353 UNIVERSITY BLVD, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720002,MOON 00 02,TWP MUNI BLDG COUNCIL CHAMBER,"1000 BEAVER GRADE RD, MOON, PA"
PA,2018-11-06,county,ALLEGHENY,1720003,MOON 00 03,RICHARD HYDE ELEM SCHOOL,"110 WALLRIDGE DR, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720004,MOON 00 04,BON MEADE ELEMENTARY SCH GYM,"1595 BROADHEAD RD, PITTSBURGH, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720005,MOON 00 05,BON MEADE ELEMENTARY SCH GYM,"1595 BROADHEAD RD, PITTSBURGH, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720006,MOON 00 06,MCCORMICK ELEM SCHOOL,"2801 BEAVER GRADE RD, PITTSBURGH, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720007,MOON 00 07,ST ANDREW LUTHERAN CHURCH FRONT ENT,"987 BEAVER GRADE RD, PITTSBURGH, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720008,MOON 00 08,BROOKS ELEM CAFE RR PARK LOT ENT,"1720 HASSAM RD, MOON, PA 15108"
PA,2018-11-06,county,ALLEGHENY,1720009,MOON 00 09,ST ANDREW LUTHERAN CHURCH SIDE ENT,"987 BEAVER GRADE RD, PITTSBURGH, PA 15108"
