state,county_name,municipality,precinct_id,name,address
RI,,NEWPORT,2106,NEWPORT PUBLIC LIBRARY,"300 SPRING ST, NEWPORT, RI 00000"
RI,,NEWPORT,2107,ROGER'S HIGH SCHOOL,"15 WICKHAM RD, NEWPORT, RI 00000"
RI,,NEWPORT,2108,THOMPSON MIDDLE SCHOOL,"55 BROADWAY, NEWPORT, RI 00000"
RI,,NEWPORT,2109,NEWPORT CITY HALL LIMITED BALLOTS,"43 BROADWAY, NEWPORT, RI 00000"
RI,,NORTH KINGSTOWN,2301,N K MASONIC LODGE,"1515 TEN ROD RD, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2302,STONY LANE SCHOOL,"825 STONY LN, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2303,QUIDNESSET ELEMENTARY SCHOOL,"166 MARK DR, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2304,DAVISVILLE MIDDLE SCHOOL,"200 SCHOOL ST, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2305,SLOCUM GRANGE HALL,"86 SLOCUM RD, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2306,NORTH KINGSTOWN SENIOR HIGH SCHOOL,"150 FAIRWAY DR, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2307,COLD SPRING COMMUNITY CENTER,"36 BEACH ST, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2308,HAMILTON ELEMENTARY SCHOOL,"25 SALISBURY AVE, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2309,WICKFORD MIDDLE SCHOOL,"250 TOWER HILL RD, NORTH KINGSTOWN, RI 00000"
RI,,NORTH KINGSTOWN,2310,TOWN HALL-LIMITED,"80 BOSTON NECK RD, NORTH KINGSTOWN, RI 00000"
RI,,NORTH PROVIDENCE,2401,FRUIT HILL FIRE STATION #2,"369 FRUIT HILL AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2402,LYMANSVILLE VFW POST #10011,"354 FRUIT HILL AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2403,SPRING VILLA APARTMENTS,"20 MCGUIRE RD, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2404,JAMES L. MCGUIRE SCHOOL - GYM,"55 CENTRAL AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2405,NORTH PROVIDENCE HIGH SCHOOL -  GYM,"1828 MINERAL SPRING AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2406,DR. EDWARD RICCI SCHOOL - GYM,"55 INTERVALE AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2407,GREYSTONE SCHOOL - GYM,"100 MORGAN AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2408,CENTREDALE SCHOOL - GYM,"41 ANGELL AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2409,CENTREDALE MANOR - COMMUNITY ROOM,"2074 SMITH ST, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2410,ST. LAWRENCE COLUMBUS CLUB,"1835 MINERAL SPRING AVE, NORTH PROVIDENCE, RI 00000"
RI,,NORTH PROVIDENCE,2411,BIRCHWOOD SCHOOL - GYM,"10 BIRCHWOOD DR, NORTH PROVIDENCE, RI 00000"
