state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Eddy,Carlsbad,VFW,"1916 San Jose Blvd, Carlsbad, NM, 88220",vote_center,11/06/2018
NM,county,Grant,Pinos Altos,Pinos Altos Volunteer Fire Department,"4759 Highway 15, Pinos Altos, NM, 88053",vote_center,11/06/2018
NM,county,Grant,San Lorenzo,San Lorenzo Elementary School,"3655 Highway 35, San Lorenzo, NM, 88041",vote_center,11/06/2018
NM,county,Grant,Silver City,National Guard Armory,"11990 US Highway 180, Silver City, NM, 88061",vote_center,11/06/2018
NM,county,Grant,Silver City,Grant County Administration Building 2,"1400 Hwy 180 E, Silver City, NM, 88061",vote_center,11/06/2018
NM,county,Grant,Cliff,Grant County Fairgrounds Exhibit Building,"16 Arena Rd., Cliff, NM, 88028",vote_center,11/06/2018
NM,county,Grant,Silver City,Silver City Woman's Club 2,"1715 Silver Heights Blvd., Silver City, NM, 88061",vote_center,11/06/2018
NM,county,Grant,Hurley,Hurley Community Center,"312 Carrasco Ave., Hurley, NM, 88043",vote_center,11/06/2018
NM,county,Grant,Silver City,Grant County Administration  Building,"1400 HWY 180 E, Silver City, NM, 88061",vote_center,11/06/2018
NM,county,Grant,Silver City,Silver City Woman's Club,"1715 Silver Heights Blvd., Silver City, NM, 88061",vote_center,11/06/2018
NM,county,Grant,Bayard,Bayard Community Center,"290 Hurley Ave., Bayard, NM, 88023",vote_center,11/06/2018
NM,county,Grant,Tyrone,Tyrone Community Center,"50 Malachite Ave., Tyrone, NM, 88065",vote_center,11/06/2018
NM,county,Guadalupe,Anton Chico,Anton Chico Community Center (ED),"1012 San Jose Circle, Anton Chico, NM, 87711",polling_place,11/06/2018
NM,county,Guadalupe,Vaughn,Vaughn Community Center (ED),"781 8th Street, Vaughn, NM, 88353",polling_place,11/06/2018
NM,county,Guadalupe,Santa Rosa,City County Complex (ED),"244 S. 4th Street, Santa Rosa, NM, 88435",polling_place,11/06/2018
