county_name,municipality,precinct_id,name,address
CABELL,HUNTINGTON,1,# 01  CENTRAL CITY SCHOOL  (MULTIPURPOSE ROOM),"2100 WASHINGTON AVENUE, HUNTINGTON, WV 25704"
CABELL,HUNTINGTON,2,# 02  CENTRAL CITY SCHOOL  (MULTIPURPOSE ROOM),"2100 WASHINGTON AVENUE, HUNTINGTON, WV 25704"
CABELL,HUNTINGTON,3,# 03  DEPT. OF TRANS. (DMV LOBBY),"801 MADISON AVENUE, HUNTINGTON, WV 25704"
CABELL,HUNTINGTON,4,# 04  MUSEUM OF RADIO/TECH,"1640 FLORENCE AVENUE, HUNTINGTON, WV 25704"
CABELL,HUNTINGTON,5,# 05  DEPT. OF TRANS. (DMV LOBBY),"801 MADISON AVENUE, HUNTINGTON, WV 25704"
CABELL,HUNTINGTON,6,#6 HUNTINGTON MIDDLE SCHOOL,"925 3RD ST , HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,8,# 08 WOODLANDS RET COMM,"1 BRADLEY FOSTER DR, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,9,# 09 HUNTINGTON CITY HALL  (LOBBY),"800 5TH AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,10,# 10 HUNTINGTON MIDDLE SCHOOL,"925 3RD ST, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,11,# 11  FIRST PRES CHURCH,"1015 5TH AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,12,# 12  A.D. LEWIS COMM CENTER,"1450 A.D. LEWIS AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,13,# 13 A.D LEWIS COMM CENTER,"1450 A.D. LEWIS AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,14,# 14  MEADOWS SCHOOL  (GYM),"1601 WASHINGTON BLVD, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,15,# 15 FIRST PRES CHURCH,"1015 5TH AVE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,16,# 16  SENIOR LIFE ENRICH CENTER,"1750 9TH AVENUE, HUNTINGTON, WV 25703"
CABELL,HUNTINGTON,17,# 17  SPRING HILL SCHOOL (LOBBY),"1901 HALL AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,18,# 18  MEADOWS SCHOOL  (GYM),"1601 WASHINGTON BLVD, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,19,# 19  HIGHLAWN SCHOOL (GYM),"2549 1ST AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,20,# 20 COMMUNITY OF GRACE CHURCH,"225 28TH ST, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,21,# 21 FAIRFIELD EAST COMM BLDG,"2711 8TH AVENUE, HUNTINGTON, WV 25703"
CABELL,HUNTINGTON,22,# 22 HUNTINGTON HIGH SCHOOL,"1 HIGHLANDER WAY, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,23,# 23 FAIRFIELD EAST COMM BLDG,"2711 8TH AVENUE, HUNTINGTON, WV 25703"
CABELL,HUNTINGTON,24,# 24 LIGHTHOUSE BAPT CHURCH,"2650 NORTH TERRACE, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,25,# 25  BEVERLY HILLS METH CHUR (YOUTH RM),"2600 WASHINGTON BLVD, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,26,# 26 HIGHLAWN SCHOOL (LOBBY),"2549 1ST AVENUE, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,27,# 27 COMMUNITY OF GRACE CHURCH,"225 28TH ST, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,28,# 28  ODD FELLOWS LODGE,"530 ROBY RD, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,29,# 29 HTGN EAST MIDDLE SCH,"1 CAMPBELL DR, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,30,# 30  HTGN EAST MIDDLE SCH,"1 CAMPBELL DR, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,31,# 31 HTGN EAST MIDDLE SCH,"1 CAMPBELL DR, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,32,# 32 GUYANDOTTE SCHOOL (GYM),"607 5TH AVE, HUNTINGTON, WV 25702"
CABELL,HUNTINGTON,33,# 33 GUYANDOTTE SCHOOL (GYM),"607 5TH AVE, HUNTINGTON, WV 25702"
CABELL,HUNTINGTON,34,# 34 ALTIZER ELEM SCHOOL,"250 3RD ST, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,35,# 35 HUNTINGTON HIGH SCHOOL (GYM CONC),"#1 HIGHLANDER WAY, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,36,# 36 HITE SAUNDERS SCHOOL (GYM),"3708 GREEN VALLEY ROAD, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,37,# 37 HITE SAUNDERS SCHOOL (GYM),"3708 GREEN VALLEY RD, HUNTINGTON, WV 25701"
CABELL,HUNTINGTON,38,# 38 CAREER TECH CTR (VO-TECH),"1035 NORWAY AVE, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,39,# 39 CAREER TECH CTR,"1035 NORWAY AVE, HUNTINGTON, WV 25705"
CABELL,HUNTINGTON,40,# 40 CAREER TECH CENTER (VO-TECH),"1035 NORWAY AVE, HUNTINGTON, WV 25705"
CABELL,BARBOURSVILLE,42,# 42  BARBOURSVILLE COMM BLDG,"721 CENTRAL AVENUE, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,43,# 43 BARBOURSVILLE MIDDLE SCHOOL  (CAFETERIA),"1400 CENTRAL AVENUE, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,44,# 44 BARBOURSVILLE ELEM SCHOOL (GYM),"718 CENTRAL AVENUE, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,45,# 45 BARBOURSVILLE ELEM SCHOOL (GYM),"718 CENTRAL AVENUE, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,46,# 46 BARBOURSVILLE MIDDLE SCHOOL (CAFETERIA),"1400 CENTRAL AVENUE, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,47,# 47 DAVIS CREEK SCHOOL (GYM),"6330 DAVIS CREEK ROAD, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,48,# 48 DAVIS CREEK SCHOOL (GYM),"6330 DAVIS CREEK ROAD, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,49,# 49 MARTHA SCHOOL  (GYM),"3065 MARTHA ROAD, BARBOURSVILLE, WV 25504"
CABELL,BARBOURSVILLE,51,# 51  MARTHA SCHOOL (GYM),"3065 MARTHA ROAD, BARBOURSVILLE, WV 25504"
CABELL,ONA,52,# 52 NICHOLS SCHOOL (GYM),"3505 ERWIN ROAD, ONA, WV 25545"
CABELL,ONA,53,# 53 NICHOLS SCHOOL (RM 9-ART RM),"3505 ERWIN ROAD, ONA, WV 25545"
CABELL,HUNTINGTON,54,# 54 YMCA KENNEDY CENTER,"5800 OHIO RIVER ROAD, HUNTINGTON, WV 25702"
CABELL,LESAGE,55,# 55 COX LANDING SCHOOL (RM 218),"6358 COX'S LANDING LANE, LESAGE, WV 25537"
CABELL,LESAGE,56,#56 Greenbottom Missionary Baptist Church,"8110 OHIO RIVER RD, LESAGE, WV 25537"
CABELL,MILTON ,57,# 57 PLEASANT VIEW FELLOWSHIP HALL,"BARKER RIDGE ROAD, MILTON , WV 25541"
