state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2014-11-04,municipality,DANBURY,,Danbury Town Hall,23 High St Danbury NH 03230
NH,2014-11-04,municipality,DANVILLE,,Danville Community Center,169 Main St Danville NH 03819
NH,2014-11-04,municipality,DEERFIELD,,Deerfield Town Hall,10 Church St Deerfield NH 03037
NH,2014-11-04,municipality,DEERING,,Deering Town Hall,762 Deering Center Rd Deering NH 03244
NH,2014-11-04,municipality,DERRY ,WARD 01,WARD 01 - Pinkerton,Academy Dist #1 5 Pinkerton Academy St Derry NH 03038
NH,2014-11-04,municipality,DERRY ,WARD 02,WARD 02 - Calvary Bible,School #2 145 Hampstead Rd Derry NH 03038
NH,2014-11-04,municipality,DERRY ,WARD 03,WARD 03 - Pinkerton,Academy Dist #3 5 Pinkerton Academy Sts Derry NH 03038
NH,2014-11-04,municipality,DERRY ,WARD 04,WARD 04 - Gilbert H Hood,Middle School Dist #4 5 Hood Rd Derry NH 03038
NH,2014-11-04,municipality,DIXVILLE,,Wilderness Ski Lodge,10 Wilderness Rd Dixville NH 03576
NH,2014-11-04,municipality,DORCHESTER,,Dorchester Town House,24 Town House Rd Dorchester NH 03266
NH,2014-11-04,municipality,DOVER ,WARD 01,WARD 01 - Saint Mary's,Church Hall 21 Chestnut St Dover NH 03820
NH,2014-11-04,municipality,DOVER ,WARD 02,WARD 02 - First Parish,Congregational Church 218 Central Ave Dover NH 03820
NH,2014-11-04,municipality,DOVER ,WARD 03,WARD 03 - Langdon Place,60 Middle Rd Dover NH 03820
NH,2014-11-04,municipality,DOVER ,WARD 04,WARD 04 - Elks Lodge,282 Durham Rd Dover NH 03820
NH,2014-11-04,municipality,DOVER ,WARD 05,WARD 05 - Saint John's,Methodist Church 28 Cataract Ave Dover NH 03820
NH,2014-11-04,municipality,DOVER ,WARD 06,WARD 06 - Riverside Rest,Home 276 County Farm Rd Dover NH 03820
NH,2014-11-04,municipality,DUBLIN,,Dublin Town Hall,1120 Main St Dublin NH 03444
NH,2014-11-04,municipality,DUMMER,,Dummer Town Hall,75 Hill Rd Dummer NH 03588
NH,2014-11-04,municipality,DUNBARTON,,Dunbarton Community Center,20 Robert Rogers Rd Dunbarton NH 03046
NH,2014-11-04,municipality,DURHAM,,Oyster River High School,55 Coe Dr Durham NH 03824
NH,2014-11-04,municipality,EAST KINGSTON,,East Kingston Elementary,School (Multi-Purpose Room) 5 Andrews Ln East Kingston NH 03827
